observation_id,access,enterer,coral,location_name,latitude,longitude,resource_id,measurement_id,trait_name,standard_unit,value,precision,precision_type,precision_upper,replicates
88253,1,14,Acropora aspera,"","","",347,91497,Growth rate,mm yr^-1,42.5,"","","",""
88254,1,14,Acropora aspera,"","","",347,91498,Growth rate,mm yr^-1,90.99,"","","",""
88255,1,14,Acropora aspera,"","","",347,91499,Growth rate,mm yr^-1,64.92,"","","",""
88256,1,14,Acropora aspera,"","","",347,91500,Growth rate,mm yr^-1,27.9,"","","",""
88257,1,14,Acropora aspera,"","","",347,91501,Growth rate,mm yr^-1,57.62,"","","",""
88258,1,14,Acropora aspera,"","","",347,91502,Growth rate,mm yr^-1,32.98,"","","",""
88259,1,14,Acropora aspera,"","","",347,91503,Growth rate,mm yr^-1,53.97,"","","",""
88260,1,14,Acropora aspera,"","","",347,91504,Growth rate,mm yr^-1,66.74,"","","",""
88261,1,14,Acropora aspera,"","","",347,91505,Growth rate,mm yr^-1,23.86,"","","",""
88262,1,14,Acropora aspera,"","","",347,91506,Growth rate,mm yr^-1,55.53,"","","",""
88263,1,14,Acropora aspera,"","","",347,91507,Growth rate,mm yr^-1,47.45,"","","",""
88264,1,14,Acropora aspera,"","","",347,91508,Growth rate,mm yr^-1,32.2,"","","",""
1599,0,8,Acropora aspera,Global estimate,"","",210,1537,Growth form,cat,branching,"","","",""
1619,1,1,Acropora austera,Global estimate,"","",215,1557,Clade Fukami Huang 2012,cat,VI,"","","",""
1682,0,1,Acropora austera,Global estimate,"","",0,1616,Growth form,cat,caespitose,"","","",""
1697,1,1,Acropora awi,Global estimate,"","",215,1631,Clade Fukami Huang 2012,cat,VI,"","","",""
1750,0,1,Acropora awi,Global estimate,"","",0,1682,Growth form,cat,hispidose,"","","",""
1765,1,1,Acropora azurea,Global estimate,"","",215,1697,Clade Fukami Huang 2012,cat,VI,"","","",""
1817,0,1,Acropora azurea,Global estimate,"","",0,1745,Growth form,cat,corymbose,"","","",""
1832,1,1,Acropora batunai,Global estimate,"","",215,1760,Clade Fukami Huang 2012,cat,VI,"","","",""
1886,0,1,Acropora batunai,Global estimate,"","",0,1812,Growth form,cat,tabular,"","","",""
1904,1,1,Acropora bifurcata,Global estimate,"","",215,1830,Clade Fukami Huang 2012,cat,VI,"","","",""
1955,0,1,Acropora bifurcata,Global estimate,"","",0,1880,Growth form,cat,tabular,"","","",""
1976,1,1,Acropora branchi,Global estimate,"","",215,1901,Clade Fukami Huang 2012,cat,VI,"","","",""
2020,0,1,Acropora branchi,Global estimate,"","",0,1944,Growth form,cat,tabular,"","","",""
2042,1,1,Acropora brueggemanni,Global estimate,"","",215,1966,Clade Fukami Huang 2012,cat,VI,"","","",""
2071,0,1,Acropora brueggemanni,"Dumaguete, Philippines",9.3167,123.3,277,1993,Growth rate,mm yr^-1,74.8,"","","",""
2071,0,1,Acropora brueggemanni,"Dumaguete, Philippines",9.3167,123.3,277,1994,Depth,m,2,"","","",""
2102,0,8,Acropora brueggemanni,Global estimate,"","",210,2023,Growth form,cat,branching,"","","",""
2123,1,1,Acropora bushyensis,Global estimate,"","",215,2044,Clade Fukami Huang 2012,cat,VI,"","","",""
2186,0,1,Acropora bushyensis,Global estimate,"","",0,2103,Growth form,cat,digitate,"","","",""
2201,1,1,Acropora cardenae,Global estimate,"","",215,2118,Clade Fukami Huang 2012,cat,VI,"","","",""
2256,0,8,Acropora cardenae,Global estimate,"","",210,2170,Growth form,cat,branching,"","","",""
2276,1,1,Acropora carduus,Global estimate,"","",215,2190,Clade Fukami Huang 2012,cat,VI,"","","",""
2337,0,8,Acropora carduus,Global estimate,"","",210,2247,Growth form,cat,hispidose,"","","",""
2355,1,1,Acropora caroliniana,Global estimate,"","",215,2265,Clade Fukami Huang 2012,cat,VI,"","","",""
2418,0,1,Acropora caroliniana,Global estimate,"","",0,2324,Growth form,cat,corymbose,"","","",""
2441,1,1,Acropora cerealis,Global estimate,"","",215,2347,Clade Fukami Huang 2012,cat,VI,"","","",""
2469,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2373,Growth rate,mm yr^-1,48.0,2.88,standard_deviation,"",30
2469,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2374,Habitat type,cat,lagoon,"","","",""
2469,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2375,Depth,m,5,"","","",""
2470,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2376,Growth rate,mm yr^-1,63.3,2.61,standard_deviation,"",15
2470,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2377,Habitat type,cat,lagoon,"","","",""
2470,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2378,Depth,m,5,"","","",""
2471,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2379,Growth rate,mm yr^-1,47.2,2.59,standard_deviation,"",13
2471,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2380,Habitat type,cat,lagoon,"","","",""
2471,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2381,Depth,m,5,"","","",""
2472,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2382,Growth rate,mm yr^-1,14.3,2.93,standard_deviation,"",11
2472,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2383,Habitat type,cat,lagoon,"","","",""
2472,0,1,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,2384,Depth,m,5,"","","",""
86258,0,9,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,89423,Growth rate,mm yr^-1,46.8,2.64,standard_deviation,"",29
86258,0,9,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,89424,Habitat type,cat,lagoon,"","","",""
86258,0,9,Acropora cerealis,"Enewetak Atoll, Marshall Islands",11.413548,162.147607,270,89425,Depth,m,5,"","","",""
2508,0,1,Acropora cerealis,Global estimate,"","",0,2418,Growth form,cat,corymbose,"","","",""
2527,1,1,Acropora cervicornis,Global estimate,"","",215,2437,Clade Fukami Huang 2012,cat,VI,"","","",""
88530,1,14,Acropora cervicornis,"","","",362,91774,Growth rate,mm yr^-1,85,"","","",""
88534,1,14,Acropora cervicornis,"","","",362,91778,Growth rate,mm yr^-1,146,"","","",""
88536,1,14,Acropora cervicornis,"","","",362,91780,Growth rate,mm yr^-1,100,"","","",""
88547,1,14,Acropora cervicornis,"","","",362,91791,Growth rate,mm yr^-1,11,"","","",""
88549,1,14,Acropora cervicornis,"","","",362,91793,Growth rate,mm yr^-1,110,"","","",""
88552,1,14,Acropora cervicornis,"","","",362,91796,Growth rate,mm yr^-1,92,"","","",""
88558,1,14,Acropora cervicornis,"","","",362,91802,Growth rate,mm yr^-1,85,"","","",""
88570,1,14,Acropora cervicornis,"","","",362,91814,Growth rate,mm yr^-1,82,"","","",""
88580,1,14,Acropora cervicornis,"","","",362,91824,Growth rate,mm yr^-1,109,"","","",""
88629,1,14,Acropora cervicornis,"","","",361,91873,Growth rate,mm yr^-1,125,"","","",""
88631,1,14,Acropora cervicornis,"","","",361,91875,Growth rate,mm yr^-1,146,"","","",""
88632,1,14,Acropora cervicornis,"","","",361,91876,Growth rate,mm yr^-1,110,"","","",""
89015,1,14,Acropora cervicornis,"","","",399,92259,Growth rate,mm yr^-1,110,"","","",""
89024,1,14,Acropora cervicornis,"","","",399,92268,Growth rate,mm yr^-1,42.5,"","","",""
89027,1,14,Acropora cervicornis,"","","",399,92271,Growth rate,mm yr^-1,134,"","","",""
89030,1,14,Acropora cervicornis,"","","",399,92274,Growth rate,mm yr^-1,120,"","","",""
89036,1,14,Acropora cervicornis,"","","",399,92280,Growth rate,mm yr^-1,260,"","","",""
89050,1,14,Acropora cervicornis,"","","",399,92294,Growth rate,mm yr^-1,100,"","","",""
89061,1,14,Acropora cervicornis,"","","",399,92305,Growth rate,mm yr^-1,71,"","","",""
89435,1,14,Acropora cervicornis,"","","",440,92679,Growth rate,mm yr^-1,143.08,"","","",""
90028,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,512,93847,Growth rate,mm yr^-1,71,"","","",""
90028,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,512,93848,Depth,m,10,"","","",""
90028,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,512,93849,Habitat type,cat,outer,"","","",""
90028,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,512,93850,Season,cat,Feb-April,"","","",""
90028,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,512,93851,Water temperature,ºC,26,"","","",""
90029,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,513,93852,Growth rate,mm yr^-1,73,"","","",""
90029,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,513,93853,Depth,m,8,"","","",""
90029,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,513,93854,Habitat type,cat,fore,"","","",""
90029,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,513,93855,Season,cat,April 1979,"","","",""
90030,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,513,93856,Growth rate,mm yr^-1,121,"","","",""
90030,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,513,93857,Depth,m,8,"","","",""
90030,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,513,93858,Habitat type,cat,fore,"","","",""
90030,0,15,Acropora cervicornis,"Buck Island, St. Croix",17.790045,-64.62038,513,93859,Season,cat,Jul 2009,"","","",""
2590,0,8,Acropora cervicornis,Global estimate,"","",210,2497,Growth form,cat,branching,"","","",""
2605,1,1,Acropora chesterfieldensis,Global estimate,"","",215,2512,Clade Fukami Huang 2012,cat,VI,"","","",""
2667,0,8,Acropora chesterfieldensis,Global estimate,"","",210,2570,Growth form,cat,caespitose,"","","",""
2690,1,1,Acropora clathrata,Global estimate,"","",215,2593,Clade Fukami Huang 2012,cat,VI,"","","",""
2754,0,1,Acropora clathrata,Global estimate,"","",0,2653,Growth form,cat,tabular,"","","",""
2769,1,1,Acropora convexa,Global estimate,"","",215,2668,Clade Fukami Huang 2012,cat,VI,"","","",""
2819,0,1,Acropora convexa,Global estimate,"","",0,2717,Growth form,cat,corymbose,"","","",""
2837,1,1,Acropora cophodactyla,Global estimate,"","",215,2735,Clade Fukami Huang 2012,cat,VI,"","","",""
2887,0,1,Acropora cophodactyla,Global estimate,"","",0,2784,Growth form,cat,digitate,"","","",""
2905,1,1,Acropora copiosa,Global estimate,"","",215,2802,Clade Fukami Huang 2012,cat,VI,"","","",""
2956,0,8,Acropora copiosa,Global estimate,"","",210,2852,Growth form,cat,branching,"","","",""
2971,1,1,Acropora crateriformis,Global estimate,"","",215,2867,Clade Fukami Huang 2012,cat,VI,"","","",""
3029,0,1,Acropora crateriformis,Global estimate,"","",0,2922,Growth form,cat,encrusting,"","","",""
3052,1,1,Acropora cuneata,Global estimate,"","",215,2945,Clade Fukami Huang 2012,cat,VI,"","","",""
3116,0,8,Acropora cuneata,Global estimate,"","",210,3005,Growth form,cat,branching,"","","",""
3131,1,1,Acropora cylindrica,Global estimate,"","",215,3020,Clade Fukami Huang 2012,cat,VI,"","","",""
3172,0,8,Acropora cylindrica,Global estimate,"","",210,3061,Growth form,cat,branching,"","","",""
3202,1,1,Acropora cytherea,Global estimate,"","",215,3091,Clade Fukami Huang 2012,cat,VI,"","","",""
3231,0,1,Acropora cytherea,"Solitary Islands, Australia",-30.08,153.3,203,3117,Growth rate,mm yr^-1,20.9,1.99,standard_deviation,"",3
3231,0,1,Acropora cytherea,"Solitary Islands, Australia",-30.08,153.3,203,3118,Wave exposure,cat,exposed,"","","",""
3232,0,1,Acropora cytherea,"Galu Falhu, Maldives",4.205432,73.498778,214,3119,Growth rate,mm yr^-1,58.1,0.85,standard_error,"",12
3232,0,1,Acropora cytherea,"Galu Falhu, Maldives",4.205432,73.498778,214,3120,Habitat type,cat,flat,"","","",""
3232,0,1,Acropora cytherea,"Galu Falhu, Maldives",4.205432,73.498778,214,3121,Depth,m,0.8,"","","",""
88515,1,14,Acropora cytherea,"","","",214,91759,Growth rate,mm yr^-1,58.1,"","","",""
88812,1,14,Acropora cytherea,"","","",203,92056,Growth rate,mm yr^-1,20.9,"","","",""
3268,0,1,Acropora cytherea,Global estimate,"","",0,3155,Growth form,cat,tabular,"","","",""
3285,1,1,Acropora dendrum,Global estimate,"","",215,3172,Clade Fukami Huang 2012,cat,VI,"","","",""
90550,0,8,Acropora dendrum,Global estimate,"","",210,95871,Growth form,cat,corymbose,"","","",""
3364,1,1,Acropora derawanensis,Global estimate,"","",215,3247,Clade Fukami Huang 2012,cat,VI,"","","",""
3417,0,8,Acropora derawanensis,Global estimate,"","",210,3298,Growth form,cat,branching,"","","",""
3432,1,1,Acropora desalwii,Global estimate,"","",215,3313,Clade Fukami Huang 2012,cat,VI,"","","",""
3485,0,1,Acropora desalwii,Global estimate,"","",0,3364,Growth form,cat,tabular,"","","",""
3510,1,1,Acropora digitifera,Global estimate,"","",215,3389,Clade Fukami Huang 2012,cat,VI,"","","",""
3575,0,1,Acropora digitifera,Global estimate,"","",0,3449,Growth form,cat,digitate,"","","",""
3601,1,1,Acropora divaricata,Global estimate,"","",215,3475,Clade Fukami Huang 2012,cat,VI,"","","",""
3631,0,1,Acropora divaricata,"Galu Falhu, Maldives",4.205432,73.498778,214,3502,Growth rate,mm yr^-1,41.5,0.269,standard_error,"",42
3631,0,1,Acropora divaricata,"Galu Falhu, Maldives",4.205432,73.498778,214,3503,Habitat type,cat,flat,"","","",""
3631,0,1,Acropora divaricata,"Galu Falhu, Maldives",4.205432,73.498778,214,3504,Depth,m,0.8,"","","",""
88516,1,14,Acropora divaricata,"","","",214,91760,Growth rate,mm yr^-1,41.5,"","","",""
90551,0,8,Acropora divaricata,Global estimate,"","",210,95872,Growth form,cat,corymbose,"","","",""
3688,1,1,Acropora donei,Global estimate,"","",215,3559,Clade Fukami Huang 2012,cat,VI,"","","",""
3751,0,1,Acropora donei,Global estimate,"","",0,3618,Growth form,cat,corymbose,"","","",""
3766,1,1,Acropora downingi,Global estimate,"","",215,3633,Clade Fukami Huang 2012,cat,VI,"","","",""
3819,0,8,Acropora downingi,Global estimate,"","",210,3684,Growth form,cat,branching_table,"","","",""
3837,1,1,Acropora echinata,Global estimate,"","",215,3702,Clade Fukami Huang 2012,cat,VI,"","","",""
3901,0,1,Acropora echinata,Global estimate,"","",0,3762,Growth form,cat,hispidose,"","","",""
3916,1,1,Acropora efflorescens,Global estimate,"","",215,3777,Clade Fukami Huang 2012,cat,VI,"","","",""
3959,0,1,Acropora efflorescens,Global estimate,"","",0,3820,Growth form,cat,tabular,"","","",""
3974,1,1,Acropora elegans,Global estimate,"","",215,3835,Clade Fukami Huang 2012,cat,VI,"","","",""
4026,0,1,Acropora elegans,Global estimate,"","",0,3885,Growth form,cat,tabular,"","","",""
4041,1,1,Acropora elegantula,Global estimate,"","",215,3900,Clade Fukami Huang 2012,cat,VI,"","","",""
4083,0,8,Acropora elegantula,Global estimate,"","",210,3942,Growth form,cat,branching_table,"","","",""
4098,1,1,Acropora elizabethensis,Global estimate,"","",215,3957,Clade Fukami Huang 2012,cat,VI,"","","",""
4146,0,8,Acropora elizabethensis,Global estimate,"","",210,4003,Growth form,cat,branching,"","","",""
4167,1,1,Acropora elseyi,Global estimate,"","",215,4024,Clade Fukami Huang 2012,cat,VI,"","","",""
4196,0,1,Acropora elseyi,Lizard Island,-14.6689,145.4594,203,4051,Growth rate,mm yr^-1,38,"","","",""
88220,1,14,Acropora elseyi,"","","",338,91464,Growth rate,mm yr^-1,127.75,"","","",""
88841,1,14,Acropora elseyi,"","","",203,92085,Growth rate,mm yr^-1,38,"","","",""
4232,0,1,Acropora elseyi,Global estimate,"","",0,4085,Growth form,cat,hispidose,"","","",""
4250,1,1,Acropora eurystoma,Global estimate,"","",215,4103,Clade Fukami Huang 2012,cat,VI,"","","",""
88237,1,14,Acropora eurystoma,"","","",344,91481,Growth rate,mm yr^-1,16.46,"","","",""
4284,0,1,Acropora eurystoma,Global estimate,"","",0,4135,Growth form,cat,corymbose,"","","",""
4293,1,1,Acropora exquisita,Global estimate,"","",215,4144,Clade Fukami Huang 2012,cat,VI,"","","",""
4341,0,8,Acropora exquisita,Global estimate,"","",210,4190,Growth form,cat,branching,"","","",""
4356,1,1,Acropora fastigata,Global estimate,"","",215,4205,Clade Fukami Huang 2012,cat,VI,"","","",""
4405,0,1,Acropora fastigata,Global estimate,"","",0,4252,Growth form,cat,caespitose,"","","",""
4420,1,1,Acropora fenneri,Global estimate,"","",215,4267,Clade Fukami Huang 2012,cat,VI,"","","",""
4462,0,1,Acropora fenneri,Global estimate,"","",0,4309,Growth form,cat,hispidose,"","","",""
4477,1,1,Acropora filiformis,Global estimate,"","",215,4324,Clade Fukami Huang 2012,cat,VI,"","","",""
4518,0,8,Acropora filiformis,Global estimate,"","",210,4365,Growth form,cat,branching,"","","",""
4541,1,1,Acropora florida,Global estimate,"","",215,4388,Clade Fukami Huang 2012,cat,VI,"","","",""
4570,0,1,Acropora florida,Lizard Island,-14.6689,145.4594,203,4415,Growth rate,mm yr^-1,45,"","","",""
88853,1,14,Acropora florida,"","","",203,92097,Growth rate,mm yr^-1,45,"","","",""
4607,0,8,Acropora florida,Global estimate,"","",210,4450,Growth form,cat,branching,"","","",""
4626,1,1,Acropora formosa,Global estimate,"","",215,4469,Clade Fukami Huang 2012,cat,VI,"","","",""
88177,0,9,Acropora formosa,"Dumaguete, Philippines",9.3167,123.3,277,91408,Growth rate,mm yr^-1,154.7,"","","",5
88177,0,9,Acropora formosa,"Dumaguete, Philippines",9.3167,123.3,277,91409,Depth,m,2,"","","",""
88511,1,14,Acropora formosa,"","","",355,91755,Growth rate,mm yr^-1,113.15,"","","",""
88512,1,14,Acropora formosa,"","","",355,91756,Growth rate,mm yr^-1,84.88,"","","",""
88513,1,14,Acropora formosa,"","","",355,91757,Growth rate,mm yr^-1,62.05,"","","",""
88808,1,14,Acropora formosa,"","","",203,92052,Growth rate,mm yr^-1,80,"","","",""
88810,1,14,Acropora formosa,"","","",203,92054,Growth rate,mm yr^-1,100,"","","",""
88828,1,14,Acropora formosa,"","","",203,92072,Growth rate,mm yr^-1,71.3,"","","",""
88833,1,14,Acropora formosa,"","","",203,92077,Growth rate,mm yr^-1,118.5,"","","",""
88840,1,14,Acropora formosa,"","","",203,92084,Growth rate,mm yr^-1,185,"","","",""
88843,1,14,Acropora formosa,"","","",203,92087,Growth rate,mm yr^-1,56.5,"","","",""
89424,1,14,Acropora formosa,"","","",460,92668,Growth rate,mm yr^-1,82,"","","",""
89425,1,14,Acropora formosa,"","","",460,92669,Growth rate,mm yr^-1,79,"","","",""
90031,0,15,Acropora formosa,Phuket Island,7.98631667,98.32754444,514,93860,Growth rate,mm yr^-1,43.8,"","","",""
90031,0,15,Acropora formosa,Phuket Island,7.98631667,98.32754444,514,93861,Depth,m,3,"","","",""
90031,0,15,Acropora formosa,Phuket Island,7.98631667,98.32754444,514,93862,Habitat type,cat,slope,"","","",""
90031,0,15,Acropora formosa,Phuket Island,7.98631667,98.32754444,514,93863,Season,cat,June 1981,"","","",""
90032,0,15,Acropora formosa,Phuket Island,7.98631667,98.32754444,514,93864,Growth rate,mm yr^-1,146,"","","",""
90032,0,15,Acropora formosa,Phuket Island,7.98631667,98.32754444,514,93865,Depth,m,3,"","","",""
90032,0,15,Acropora formosa,Phuket Island,7.98631667,98.32754444,514,93866,Habitat type,cat,slope,"","","",""
90032,0,15,Acropora formosa,Phuket Island,7.98631667,98.32754444,514,93867,Season,cat,January 1982,"","","",""
4692,0,8,Acropora formosa,Global estimate,"","",210,4530,Growth form,cat,branching,"","","",""
4707,1,1,Acropora forskali,Global estimate,"","",215,4545,Clade Fukami Huang 2012,cat,VI,"","","",""
4749,0,8,Acropora forskali,Global estimate,"","",210,4587,Growth form,cat,branching,"","","",""
4777,1,1,Acropora gemmifera,Global estimate,"","",215,4615,Clade Fukami Huang 2012,cat,VI,"","","",""
4841,0,1,Acropora gemmifera,Global estimate,"","",0,4675,Growth form,cat,digitate,"","","",""
4868,1,1,Acropora glauca,Global estimate,"","",215,4702,Clade Fukami Huang 2012,cat,VI,"","","",""
4940,0,8,Acropora glauca,Global estimate,"","",210,4768,Growth form,cat,tabular,"","","",""
4957,1,1,Acropora globiceps,Global estimate,"","",215,4785,Clade Fukami Huang 2012,cat,VI,"","","",""
5009,0,1,Acropora globiceps,Global estimate,"","",0,4835,Growth form,cat,digitate,"","","",""
5024,1,1,Acropora gomezi,Global estimate,"","",215,4850,Clade Fukami Huang 2012,cat,VI,"","","",""
88733,1,14,Acropora gomezi,"","","",378,91977,Growth rate,mm yr^-1,66,"","","",""
5065,0,8,Acropora gomezi,Global estimate,"","",210,4891,Growth form,cat,branching,"","","",""
5083,1,1,Acropora grandis,Global estimate,"","",215,4909,Clade Fukami Huang 2012,cat,VI,"","","",""
5148,0,8,Acropora grandis,Global estimate,"","",210,4970,Growth form,cat,branching,"","","",""
5171,1,1,Acropora granulosa,Global estimate,"","",215,4993,Clade Fukami Huang 2012,cat,VI,"","","",""
5239,0,8,Acropora granulosa,Global estimate,"","",210,5057,Growth form,cat,corymbose,"","","",""
5256,1,1,Acropora haimei,Global estimate,"","",215,5074,Clade Fukami Huang 2012,cat,VI,"","","",""
